quality,ID
0.150711,00000.stimsim
0.150876,00001.stimsim
0.150777,00002.stimsim
0.150381,00003.stimsim
0.150117,00004.stimsim
0.150513,00005.stimsim
0.150546,00006.stimsim
0.150447,00007.stimsim
0.150579,00008.stimsim
0.150678,00009.stimsim
0.150381,00010.stimsim
0.150876,00011.stimsim
0.150711,00012.stimsim
0.150843,00013.stimsim
0.150777,00014.stimsim
0.150579,00015.stimsim
0.15048,00016.stimsim
0.150381,00017.stimsim
0.150579,00018.stimsim
0.150711,00019.stimsim
0.150645,00020.stimsim
0.150513,00021.stimsim
0.150315,00022.stimsim
0.150579,00023.stimsim
0.150579,00024.stimsim
0.150777,00025.stimsim
0.150447,00026.stimsim
0.15048,00027.stimsim
0.150315,00028.stimsim
0.151206,00029.stimsim
0.150777,00030.stimsim
0.150381,00031.stimsim
0.15081,00032.stimsim
0.150711,00033.stimsim
0.150447,00034.stimsim
0.150612,00035.stimsim
0.150612,00036.stimsim
0.15081,00037.stimsim
0.15048,00038.stimsim
0.150018,00039.stimsim
0.150447,00040.stimsim
0.15081,00041.stimsim
0.150579,00042.stimsim
0.150777,00043.stimsim
0.150249,00044.stimsim
0.150282,00045.stimsim
0.150777,00046.stimsim
0.150744,00047.stimsim
0.150579,00048.stimsim
0.150546,00049.stimsim
0.150942,00050.stimsim
0.150711,00051.stimsim
0.150678,00052.stimsim
0.150612,00053.stimsim
0.150612,00054.stimsim
0.150579,00055.stimsim
0.150414,00056.stimsim
0.150414,00057.stimsim
0.15081,00058.stimsim
0.150612,00059.stimsim
0.15048,00060.stimsim
0.150216,00061.stimsim
0.150282,00062.stimsim
0.150414,00063.stimsim
0.150612,00064.stimsim
0.15048,00065.stimsim
0.150249,00066.stimsim
0.15048,00067.stimsim
0.150546,00068.stimsim
0.150777,00069.stimsim
0.150216,00070.stimsim
0.150414,00071.stimsim
0.150513,00072.stimsim
0.150579,00073.stimsim
0.150414,00074.stimsim
0.150711,00075.stimsim
0.150612,00076.stimsim
0.150612,00077.stimsim
