quality,ID
0.167277,00000.stimsim
0.167574,00001.stimsim
0.167772,00002.stimsim
0.16698,00003.stimsim
0.168201,00004.stimsim
0.16797,00005.stimsim
0.166221,00006.stimsim
0.16632,00007.stimsim
0.167838,00008.stimsim
0.167607,00009.stimsim
0.169521,00010.stimsim
0.16764,00011.stimsim
0.167805,00012.stimsim
0.166551,00013.stimsim
0.168597,00014.stimsim
0.168465,00015.stimsim
0.1683,00016.stimsim
0.168366,00017.stimsim
0.169422,00018.stimsim
0.166485,00019.stimsim
0.169158,00020.stimsim
0.16764,00021.stimsim
0.168663,00022.stimsim
0.167739,00023.stimsim
0.167904,00024.stimsim
0.168036,00025.stimsim
0.168399,00026.stimsim
0.167706,00027.stimsim
0.169191,00028.stimsim
0.168267,00029.stimsim
0.168894,00030.stimsim
0.172029,00031.stimsim
0.16764,00032.stimsim
0.168102,00033.stimsim
0.168069,00034.stimsim
0.17028,00035.stimsim
0.167706,00036.stimsim
0.168234,00037.stimsim
0.167112,00038.stimsim
0.166452,00039.stimsim
0.168465,00040.stimsim
0.169554,00041.stimsim
0.166287,00042.stimsim
0.16665,00043.stimsim
0.168465,00044.stimsim
0.168729,00045.stimsim
0.167046,00046.stimsim
0.166617,00047.stimsim
0.167211,00048.stimsim
0.168102,00049.stimsim
0.166716,00050.stimsim
0.166815,00051.stimsim
0.168102,00052.stimsim
0.167904,00053.stimsim
0.167904,00054.stimsim
0.167805,00055.stimsim
0.169389,00056.stimsim
0.167574,00057.stimsim
0.168234,00058.stimsim
0.168366,00059.stimsim
0.169092,00060.stimsim
0.166848,00061.stimsim
0.168432,00062.stimsim
0.166749,00063.stimsim
0.16764,00064.stimsim
0.166716,00065.stimsim
0.165825,00066.stimsim
0.166881,00067.stimsim
0.167508,00068.stimsim
0.167079,00069.stimsim
0.167211,00070.stimsim
0.168894,00071.stimsim
0.168993,00072.stimsim
0.167112,00073.stimsim
0.168531,00074.stimsim
0.166617,00075.stimsim
0.167673,00076.stimsim
0.169191,00077.stimsim
0.167376,00078.stimsim
0.167607,00079.stimsim
0.166815,00080.stimsim
0.167013,00081.stimsim
0.166914,00082.stimsim
0.167937,00083.stimsim
0.166848,00084.stimsim
0.166815,00085.stimsim
0.167442,00086.stimsim
0.16764,00087.stimsim
0.167343,00088.stimsim
0.169092,00089.stimsim
0.167277,00090.stimsim
0.167112,00091.stimsim
0.168993,00092.stimsim
0.166617,00093.stimsim
0.168762,00094.stimsim
0.168399,00095.stimsim
0.167409,00096.stimsim
0.166518,00097.stimsim
0.167574,00098.stimsim
0.16797,00099.stimsim
0.168168,00100.stimsim
0.168432,00101.stimsim
0.167244,00102.stimsim
0.166452,00103.stimsim
0.1683,00104.stimsim
0.166716,00105.stimsim
0.168168,00106.stimsim
0.167376,00107.stimsim
0.167376,00108.stimsim
0.167607,00109.stimsim
0.170313,00110.stimsim
0.166518,00111.stimsim
0.166848,00112.stimsim
0.167145,00113.stimsim
0.167706,00114.stimsim
0.169191,00115.stimsim
0.16863,00116.stimsim
0.167574,00117.stimsim
0.166749,00118.stimsim
0.167508,00119.stimsim
0.167244,00120.stimsim
0.167277,00121.stimsim
0.168003,00122.stimsim
0.16764,00123.stimsim
0.167475,00124.stimsim
0.167805,00125.stimsim
0.167178,00126.stimsim
0.167904,00127.stimsim
0.168267,00128.stimsim
0.168102,00129.stimsim
0.166452,00130.stimsim
0.168465,00131.stimsim
0.166089,00132.stimsim
0.169587,00133.stimsim
0.166782,00134.stimsim
0.166749,00135.stimsim
0.166122,00136.stimsim
0.167574,00137.stimsim
0.166485,00138.stimsim
0.166815,00139.stimsim
0.168498,00140.stimsim
0.166221,00141.stimsim
0.168597,00142.stimsim
0.166815,00143.stimsim
0.167145,00144.stimsim
0.170808,00145.stimsim
0.167475,00146.stimsim
0.168762,00147.stimsim
0.168168,00148.stimsim
0.167673,00149.stimsim
0.167211,00150.stimsim
0.167541,00151.stimsim
0.166815,00152.stimsim
0.167739,00153.stimsim
0.168069,00154.stimsim
0.167541,00155.stimsim
0.165957,00156.stimsim
0.167178,00157.stimsim
0.16797,00158.stimsim
0.165891,00159.stimsim
0.166617,00160.stimsim
0.166947,00161.stimsim
0.167442,00162.stimsim
0.169455,00163.stimsim
0.167607,00164.stimsim
0.166914,00165.stimsim
0.167937,00166.stimsim
0.16962,00167.stimsim
0.166617,00168.stimsim
0.168201,00169.stimsim
0.167145,00170.stimsim
0.167541,00171.stimsim
0.16698,00172.stimsim
0.169158,00173.stimsim
0.166551,00174.stimsim
0.167277,00175.stimsim
0.166749,00176.stimsim
0.168993,00177.stimsim
0.167079,00178.stimsim
0.167046,00179.stimsim
0.168267,00180.stimsim
0.169455,00181.stimsim
0.168135,00182.stimsim
0.168102,00183.stimsim
0.166056,00184.stimsim
0.167475,00185.stimsim
0.166518,00186.stimsim
0.16731,00187.stimsim
0.165924,00188.stimsim
0.167706,00189.stimsim
0.166848,00190.stimsim
0.169389,00191.stimsim
0.168036,00192.stimsim
0.167079,00193.stimsim
0.167079,00194.stimsim
0.167079,00195.stimsim
0.167475,00196.stimsim
0.16863,00197.stimsim
0.166815,00198.stimsim
0.16764,00199.stimsim
0.167871,00200.stimsim
0.168267,00201.stimsim
0.168762,00202.stimsim
0.169587,00203.stimsim
0.167541,00204.stimsim
0.167937,00205.stimsim
0.167211,00206.stimsim
0.16731,00207.stimsim
0.168267,00208.stimsim
0.169686,00209.stimsim
0.168168,00210.stimsim
0.169488,00211.stimsim
0.168498,00212.stimsim
0.168366,00213.stimsim
0.168333,00214.stimsim
0.167673,00215.stimsim
0.168564,00216.stimsim
0.168729,00217.stimsim
0.1683,00218.stimsim
0.16962,00219.stimsim
0.169224,00220.stimsim
0.168333,00221.stimsim
0.16731,00222.stimsim
0.168399,00223.stimsim
0.167211,00224.stimsim
0.168531,00225.stimsim
0.167673,00226.stimsim
0.16797,00227.stimsim
0.168168,00228.stimsim
0.167013,00229.stimsim
0.168003,00230.stimsim
0.167937,00231.stimsim
0.168267,00232.stimsim
0.167376,00233.stimsim
0.168333,00234.stimsim
0.169521,00235.stimsim
0.168828,00236.stimsim
0.168399,00237.stimsim
0.166221,00238.stimsim
0.167904,00239.stimsim
0.168102,00240.stimsim
0.168135,00241.stimsim
0.165693,00242.stimsim
0.16896,00243.stimsim
0.168168,00244.stimsim
0.166386,00245.stimsim
0.168993,00246.stimsim
0.168531,00247.stimsim
0.168894,00248.stimsim
0.16863,00249.stimsim
0.167541,00250.stimsim
0.169125,00251.stimsim
0.16764,00252.stimsim
0.169488,00253.stimsim
0.167475,00254.stimsim
0.166881,00255.stimsim
0.16632,00256.stimsim
0.167805,00257.stimsim
0.169554,00258.stimsim
0.169323,00259.stimsim
0.167079,00260.stimsim
0.167178,00261.stimsim
0.170016,00262.stimsim
0.166584,00263.stimsim
0.168498,00264.stimsim
0.16566,00265.stimsim
0.167376,00266.stimsim
0.169422,00267.stimsim
0.167574,00268.stimsim
0.16731,00269.stimsim
0.166716,00270.stimsim
0.167772,00271.stimsim
0.166947,00272.stimsim
0.170148,00273.stimsim
0.167541,00274.stimsim
0.167871,00275.stimsim
0.170313,00276.stimsim
0.168729,00277.stimsim
0.168135,00278.stimsim
0.167211,00279.stimsim
0.16863,00280.stimsim
0.167079,00281.stimsim
0.166122,00282.stimsim
0.166386,00283.stimsim
0.168663,00284.stimsim
0.169521,00285.stimsim
0.167409,00286.stimsim
0.168894,00287.stimsim
0.170478,00288.stimsim
0.168201,00289.stimsim
0.167607,00290.stimsim
0.167211,00291.stimsim
0.166848,00292.stimsim
0.16764,00293.stimsim
0.168135,00294.stimsim
0.167508,00295.stimsim
0.168465,00296.stimsim
0.167013,00297.stimsim
0.167706,00298.stimsim
0.167112,00299.stimsim
0.168102,00300.stimsim
0.167475,00301.stimsim
0.16764,00302.stimsim
0.168663,00303.stimsim
0.167706,00304.stimsim
0.16797,00305.stimsim
0.16863,00306.stimsim
0.165957,00307.stimsim
0.165825,00308.stimsim
0.16797,00309.stimsim
0.167904,00310.stimsim
0.167937,00311.stimsim
0.167871,00312.stimsim
0.168234,00313.stimsim
0.168597,00314.stimsim
0.16863,00315.stimsim
0.169323,00316.stimsim
0.167277,00317.stimsim
0.167244,00318.stimsim
0.166551,00319.stimsim
0.168168,00320.stimsim
0.168201,00321.stimsim
0.165627,00322.stimsim
0.16863,00323.stimsim
0.167937,00324.stimsim
0.167112,00325.stimsim
0.168135,00326.stimsim
0.168663,00327.stimsim
0.16863,00328.stimsim
0.167211,00329.stimsim
0.16962,00330.stimsim
0.168102,00331.stimsim
0.168663,00332.stimsim
0.167607,00333.stimsim
0.167508,00334.stimsim
0.168036,00335.stimsim
